"Date","Open","High","Low","Close*","Adj Close**","Volume",
"Dec 28, 2018","1,049.62","1,055.56","1,033.26","1,037.08","1,037.08","1,398,885",
"Dec 27, 2018","1,017.15","1,043.89","997.00","1,043.88","1,043.88","2,104,100",
"Dec 26, 2018","989.01","1,040.00","983.00","1,039.46","1,039.46","2,373,300",
"Dec 24, 2018","973.90","1,003.54","970.11","976.22","976.22","1,590,300",
"Dec 21, 2018","1,015.30","1,024.02","973.69","979.54","979.54","4,596,000",
"Dec 20, 2018","1,018.13","1,034.22","996.36","1,009.41","1,009.41","2,673,500",
"Dec 19, 2018","1,033.99","1,062.00","1,008.05","1,023.01","1,023.01","2,479,300",
"Dec 18, 2018","1,026.09","1,049.48","1,021.44","1,028.71","1,028.71","2,192,500",
"Dec 17, 2018","1,037.51","1,053.15","1,007.90","1,016.53","1,016.53","2,385,400",
"Dec 14, 2018","1,049.98","1,062.60","1,040.79","1,042.10","1,042.10","1,686,600",
"Dec 13, 2018","1,068.07","1,079.76","1,053.93","1,061.90","1,061.90","1,329,800",
"Dec 12, 2018","1,068.00","1,081.65","1,062.79","1,063.68","1,063.68","1,523,800",
"Dec 11, 2018","1,056.49","1,060.60","1,039.84","1,051.75","1,051.75","1,394,700",
"Dec 10, 2018","1,035.05","1,048.45","1,023.29","1,039.55","1,039.55","1,807,700",
"Dec 07, 2018","1,060.01","1,075.26","1,028.50","1,036.58","1,036.58","2,101,200",
"Dec 06, 2018","1,034.26","1,071.20","1,030.77","1,068.73","1,068.73","2,769,200",
"Dec 04, 2018","1,103.12","1,104.42","1,049.98","1,050.82","1,050.82","2,345,200",
"Dec 03, 2018","1,123.14","1,124.65","1,103.67","1,106.43","1,106.43","1,991,200",
"Nov 30, 2018","1,089.07","1,095.57","1,077.88","1,094.43","1,094.43","2,580,200",
"Nov 29, 2018","1,076.08","1,094.24","1,076.00","1,088.30","1,088.30","1,468,900",
"Nov 28, 2018","1,048.76","1,086.84","1,035.76","1,086.23","1,086.23","2,475,400",
"Nov 27, 2018","1,041.00","1,057.58","1,038.49","1,044.41","1,044.41","1,803,200",
"Nov 26, 2018","1,038.35","1,049.31","1,033.91","1,048.62","1,048.62","1,850,400",
"Nov 23, 2018","1,030.00","1,037.59","1,022.40","1,023.88","1,023.88","691,500",
"Nov 21, 2018","1,036.76","1,048.56","1,033.47","1,037.61","1,037.61","1,534,300",
"Nov 20, 2018","1,000.00","1,031.74","996.02","1,025.76","1,025.76","2,449,100",
"Nov 19, 2018","1,057.20","1,060.79","1,016.26","1,020.00","1,020.00","1,858,600",
"Nov 16, 2018","1,059.41","1,067.00","1,048.98","1,061.49","1,061.49","1,658,100",
"Nov 15, 2018","1,044.71","1,071.85","1,031.78","1,064.71","1,064.71","1,836,100",
"Nov 14, 2018","1,050.00","1,054.56","1,031.00","1,043.66","1,043.66","1,565,900",
"Nov 13, 2018","1,043.29","1,056.60","1,031.15","1,036.05","1,036.05","1,513,700",
"Nov 12, 2018","1,061.39","1,062.12","1,031.00","1,038.63","1,038.63","1,471,800",
"Nov 09, 2018","1,073.99","1,075.56","1,053.11","1,066.15","1,066.15","1,343,200",
"Nov 08, 2018","1,091.38","1,093.27","1,072.20","1,082.40","1,082.40","1,488,200",
"Nov 07, 2018","1,069.00","1,095.46","1,065.90","1,093.39","1,093.39","2,058,400",
"Nov 06, 2018","1,039.48","1,064.34","1,038.07","1,055.81","1,055.81","1,233,300",
"Nov 05, 2018","1,055.00","1,058.47","1,021.24","1,040.09","1,040.09","2,441,400",
"Nov 02, 2018","1,073.73","1,082.97","1,054.61","1,057.79","1,057.79","1,839,000",
"Nov 01, 2018","1,075.80","1,083.97","1,062.46","1,070.00","1,070.00","1,482,000",
"Oct 31, 2018","1,059.81","1,091.94","1,057.00","1,076.77","1,076.77","2,529,800",
"Oct 30, 2018","1,008.46","1,037.49","1,000.75","1,036.21","1,036.21","3,212,700",
"Oct 29, 2018","1,082.47","1,097.04","995.83","1,020.08","1,020.08","3,880,700",
"Oct 26, 2018","1,037.03","1,106.53","1,034.09","1,071.47","1,071.47","4,187,600",
"Oct 25, 2018","1,071.79","1,110.98","1,069.55","1,095.57","1,095.57","2,545,800",
"Oct 24, 2018","1,104.25","1,106.12","1,048.74","1,050.71","1,050.71","1,982,400",
"Oct 23, 2018","1,080.89","1,107.89","1,070.00","1,103.69","1,103.69","1,848,700",
"Oct 22, 2018","1,103.06","1,112.23","1,091.00","1,101.16","1,101.16","1,514,200",
"Oct 19, 2018","1,093.37","1,110.36","1,087.75","1,096.46","1,096.46","1,267,600",
"Oct 18, 2018","1,121.84","1,121.84","1,077.09","1,087.97","1,087.97","2,094,500",
"Oct 17, 2018","1,126.46","1,128.99","1,102.19","1,115.69","1,115.69","1,467,200",
"Oct 16, 2018","1,104.59","1,124.22","1,102.50","1,121.28","1,121.28","1,928,500",
"Oct 15, 2018","1,108.91","1,113.45","1,089.00","1,092.25","1,092.25","1,372,400",
"Oct 12, 2018","1,108.00","1,115.00","1,086.40","1,110.08","1,110.08","2,101,300",
"Oct 11, 2018","1,072.94","1,106.40","1,068.27","1,079.32","1,079.32","2,949,000",
"Oct 10, 2018","1,131.08","1,132.17","1,081.13","1,081.22","1,081.22","2,675,700",
"Oct 09, 2018","1,146.15","1,154.35","1,137.57","1,138.82","1,138.82","1,308,700",
"Oct 08, 2018","1,150.11","1,168.00","1,127.36","1,148.97","1,148.97","1,932,400",
"Oct 05, 2018","1,167.50","1,173.50","1,145.12","1,157.35","1,157.35","1,184,300",
"Oct 04, 2018","1,195.33","1,197.51","1,155.58","1,168.19","1,168.19","2,209,500",
"Oct 03, 2018","1,205.00","1,206.41","1,193.83","1,202.95","1,202.95","1,256,200",
"Oct 02, 2018","1,190.96","1,209.96","1,186.63","1,200.11","1,200.11","1,687,900",
"Oct 01, 2018","1,199.89","1,209.90","1,190.30","1,195.31","1,195.31","1,357,600",
"Sep 28, 2018","1,191.87","1,195.41","1,184.50","1,193.47","1,193.47","1,380,600",
"Sep 27, 2018","1,186.73","1,202.10","1,183.63","1,194.64","1,194.64","1,260,800",
"Sep 26, 2018","1,185.15","1,194.23","1,174.77","1,180.49","1,180.49","1,462,300",
"Sep 25, 2018","1,176.15","1,186.88","1,168.00","1,184.65","1,184.65","977,700",
"Sep 24, 2018","1,157.17","1,178.00","1,146.91","1,173.37","1,173.37","1,271,000",
"Sep 21, 2018","1,192.00","1,192.21","1,166.04","1,166.09","1,166.09","4,405,600",
"Sep 20, 2018","1,179.99","1,189.89","1,173.36","1,186.87","1,186.87","1,210,000",
"Sep 19, 2018","1,164.98","1,173.21","1,154.58","1,171.09","1,171.09","1,191,400",
"Sep 18, 2018","1,157.09","1,176.08","1,157.09","1,161.22","1,161.22","1,203,600",
"Sep 17, 2018","1,170.14","1,177.24","1,154.03","1,156.05","1,156.05","1,306,500",
"Sep 14, 2018","1,179.10","1,180.43","1,168.33","1,172.53","1,172.53","944,000",
"Sep 13, 2018","1,170.74","1,178.61","1,162.85","1,175.33","1,175.33","1,431,200",
"Sep 12, 2018","1,172.72","1,178.61","1,158.36","1,162.82","1,162.82","1,295,500",
"Sep 11, 2018","1,161.63","1,178.68","1,156.24","1,177.36","1,177.36","1,209,300",
"Sep 10, 2018","1,172.19","1,174.54","1,160.11","1,164.64","1,164.64","1,115,400",
"Sep 07, 2018","1,158.67","1,175.26","1,157.21","1,164.83","1,164.83","1,401,300",
"Sep 06, 2018","1,186.30","1,186.30","1,152.00","1,171.44","1,171.44","1,888,500",
"Sep 05, 2018","1,193.80","1,199.01","1,162.00","1,186.48","1,186.48","2,061,300",
"Sep 04, 2018","1,204.27","1,212.99","1,192.50","1,197.00","1,197.00","1,831,000",
"Aug 31, 2018","1,234.98","1,238.66","1,211.29","1,218.19","1,218.19","1,816,400",
